id_player,FullName,status,Club,position,opponent_team,gameweek_points,minutes,gameweek_goals, gameweek_assists, gameweek_clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,gameweek_yellow_cards,gameweek_red_cards,gameweek_saves,bonus,value,total_points,total_assists,total_clean_sheets,total_yellow_cards,total_red_cards,total_saves,total_goals
24,Matt Turner,a,Arsenal,GKP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,12,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,11,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,16,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,20,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,19,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,15,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,13,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,11,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,12,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,19,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,
81,David Raya Martin,a,Brentford,GKP,10,2,90,0,0,0,2,0,0,0,0,0,3,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,14,7,90,0,0,1,0,0,0,0,0,0,4,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,9,3,90,0,0,0,3,0,0,0,0,0,6,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,8,6,90,0,0,0,1,0,0,0,0,0,6,2,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,7,3,90,0,0,0,1,0,0,0,0,0,3,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,11,2,90,0,0,0,2,0,0,0,0,0,4,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,1,2,90,0,0,0,3,0,0,0,0,0,4,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,3,6,90,0,0,1,0,0,0,0,0,0,0,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,15,0,90,0,0,0,5,0,0,0,0,0,2,0,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,5,10,90,0,0,1,0,0,0,0,0,0,7,2,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,6,10,90,0,0,1,0,0,0,0,0,0,5,3,45,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,2,2,90,0,0,0,4,0,0,0,0,0,7,0,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,20,3,90,0,0,0,1,0,0,0,0,0,3,0,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,16,2,90,0,0,0,2,0,0,0,0,0,5,0,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,13,3,90,0,0,0,1,0,0,0,0,0,5,0,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,18,3,90,0,0,0,2,0,0,0,0,0,6,0,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,19,9,90,0,0,1,0,0,0,0,0,0,5,2,46,135,0,9,1,0,132,0,
81,David Raya Martin,a,Brentford,GKP,12,3,90,0,0,0,1,0,0,0,0,0,4,0,46,135,0,9,1,0,132,0,
